,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
221,1,0.0011004979996869224,0.001200827000047866,0.000928304000353819,0.00019735800015041605,32,25,3,3,1.091166908426445
580,1,0.04795789899981173,0.05293554399986533,0.14621070400016833,0.0336232720001135,500,31,3,1,1.1037919738742754
2085,401,0.10097992299961334,0.11186010900019028,0.2041045830001167,0.04616212499968242,32,31,3,1,1.107746031858418
231,1,0.0011099909997938084,0.0012351509999461996,0.0009929950001605903,0.00016034999998737476,32,26,3,3,1.1127576711663796
191,1,0.0010973140001624415,0.0012236080001457594,0.000884850999682385,0.00017568399971423787,32,22,3,3,1.1150937652892625
211,1,0.001082439000128943,0.0012094319999960135,0.000934618999963277,0.0001744950000102108,32,24,3,3,1.1173211606861382
261,1,0.001127479999922798,0.0012600070003827568,0.0009806379998735792,0.00019733600038307486,32,29,3,3,1.1175426619266269
2065,401,0.09477519299980486,0.10620892200040544,0.1902478809997774,0.0462710869996954,32,29,3,1,1.120640524579297
241,1,0.0010988710000674473,0.0012367019999146578,0.0010210529999312712,0.0001945730000443291,32,27,3,3,1.1254296453712498
2055,401,0.09220791699954134,0.1037841009992917,0.18827004600007058,0.041350911000336055,32,28,3,1,1.1255443607928801
161,1,0.0011262069997428625,0.0012681289999818546,0.0008326210004270251,0.00015473800021936768,32,19,3,3,1.1260176861548508
2075,401,0.09946043800027837,0.11271729700001742,0.20392759700007446,0.04429715600053896,32,30,3,1,1.1332877601011766
1180,101,0.014837274000001344,0.01690713700008928,0.030281836000085605,0.004044019000048138,32,31,3,1,1.1395042647381013
1170,101,0.014648334000412433,0.01674716300021828,0.029018228000040835,0.003833864000171161,32,30,3,1,1.143281072082788
11,1,0.0011592310002015438,0.0013272240003061597,0.0007130240001060884,0.00014917099997546757,32,4,3,3,1.1449176221783308
111,1,0.0010347960001126921,0.0011857839999720454,0.0007751880002615508,0.0001499710001553467,32,14,3,3,1.1459108846989265
2095,401,0.10246427200036123,0.11772983900027612,0.2086268889997882,0.048233210999569565,32,32,3,1,1.148984291811111
104,1,0.0010062400001515925,0.001157893000254262,0.0007627109998793458,0.00013169800013201893,32,13,5,1,1.1507125537444571
